pattern,Agreement,Expected Agreement,threhsold1_imp_agreement,threhsold2_imp_agreement,pattern_lift
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 4.3)}",0.88,0.22,11.3,4.3,3.95
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 10.4)}",0.87,0.12,25.8,10.4,7.53
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 11.1)}",0.87,0.12,22,11.1,7.06
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 11.6)}",0.87,0.12,22,11.6,7.05
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 11.1)}",0.87,0.12,21.1,11.1,7.02
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 11.6)}",0.87,0.12,21.1,11.6,7.02
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 10.4)}",0.87,0.14,19.1,10.4,6.05
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 9.2)}",0.87,0.16,16.2,9.2,5.32
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 11.6)}",0.86,0.1,27.8,11.6,8.41
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 11.1)}",0.86,0.1,27.8,11.1,8.33
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 9.7)}",0.86,0.16,16.2,9.7,5.32
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 10.0)}",0.86,0.16,16.2,10,5.31
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 8.0)}",0.86,0.17,20.3,8,5.11
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 6.6)}",0.86,0.19,17.7,6.6,4.53
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 6.1)}",0.86,0.19,17.7,6.1,4.5
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 6.6)}",0.86,0.19,14,6.6,4.47
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 6.1)}",0.86,0.19,14,6.1,4.45
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 6.6)}",0.86,0.2,12.5,6.6,4.3
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 6.1)}",0.86,0.2,12.5,6.1,4.28
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 4.6)}",0.86,0.22,12.5,4.6,3.98
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 4.3)}",0.86,0.22,12.5,4.3,3.96
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 5.6)}",0.86,0.22,10.1,5.6,3.85
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 5.1)}",0.86,0.22,10.1,5.1,3.84
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 12.1)}",0.85,0.11,24,12.1,8.04
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 8.8)}",0.85,0.15,22,8.8,5.67
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 8.8)}",0.85,0.15,21.1,8.8,5.66
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 7.6)}",0.85,0.17,20.3,7.6,5.04
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 8.0)}",0.85,0.18,14,8,4.61
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 7.6)}",0.85,0.19,14,7.6,4.58
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 6.6)}",0.85,0.21,11.3,6.6,4.11
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 6.1)}",0.85,0.21,11.3,6.1,4.1
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 10.4)}",0.84,0.11,26.9,10.4,7.48
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 11.6)}",0.84,0.13,20.3,11.6,6.46
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 11.1)}",0.84,0.13,20.3,11.1,6.44
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 10.4)}",0.84,0.15,17.7,10.4,5.63
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 8.0)}",0.84,0.19,12.5,8,4.39
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 7.6)}",0.84,0.19,12.5,7.6,4.36
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 4.6)}",0.84,0.21,14,4.6,4.01
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 4.3)}",0.84,0.21,14,4.3,3.99
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 8.0)}",0.84,0.22,10.1,8,3.84
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 7.6)}",0.84,0.22,10.1,7.6,3.81
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 10.0)}",0.83,0.12,25.8,10,6.8
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 9.7)}",0.83,0.12,25.8,9.7,6.77
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 9.2)}",0.83,0.12,25.8,9.2,6.71
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 6.6)}",0.83,0.18,19.1,6.6,4.57
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 6.1)}",0.83,0.18,19.1,6.1,4.54
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 10.4)}",0.82,0.11,27.8,10.4,7.47
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 12.1)}",0.82,0.11,22,12.1,7.24
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 12.1)}",0.82,0.11,21.1,12.1,7.2
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 11.6)}",0.82,0.13,19.1,11.6,6.1
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 11.1)}",0.82,0.13,19.1,11.1,6.08
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 10.4)}",0.82,0.15,16.2,10.4,5.35
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 13.4)}",0.81,0.1,24,13.4,8.07
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 8.8)}",0.81,0.14,24,8.8,5.73
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 8.0)}",0.81,0.16,21.1,8,5.08
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 8.0)}",0.81,0.16,22,8,5.08
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 7.6)}",0.81,0.16,21.1,7.6,5.02
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 7.6)}",0.81,0.16,22,7.6,5.01
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 8.8)}",0.81,0.17,14,8.8,4.69
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 6.6)}",0.81,0.18,20.3,6.6,4.59
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 8.0)}",0.81,0.2,11.3,8,4.13
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 7.6)}",0.81,0.2,11.3,7.6,4.1
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 10.0)}",0.8,0.12,26.9,10,6.75
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 9.7)}",0.8,0.12,26.9,9.7,6.72
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 6.1)}",0.8,0.18,20.3,6.1,4.56
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 8.8)}",0.8,0.18,12.5,8.8,4.45
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 5.6)}",0.8,0.19,16.2,5.6,4.17
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 8.8)}",0.8,0.21,10.1,8.8,3.87
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 9.2)}",0.79,0.12,26.9,9.2,6.66
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 12.1)}",0.79,0.12,20.3,12.1,6.61
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 11.6)}",0.79,0.14,17.7,11.6,5.64
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 11.1)}",0.79,0.14,17.7,11.1,5.63
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 5.1)}",0.79,0.19,16.2,5.1,4.15
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 10.0)}",0.78,0.12,27.8,10,6.75
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 9.7)}",0.78,0.12,27.8,9.7,6.72
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 9.2)}",0.78,0.16,14,9.2,4.83
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 5.6)}",0.78,0.19,17.7,5.6,4.2
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 8.8)}",0.78,0.19,11.3,8.8,4.19
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 5.1)}",0.78,0.19,17.7,5.1,4.18
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 4.6)}",0.78,0.21,16.2,4.6,3.67
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 4.3)}",0.78,0.21,16.2,4.3,3.66
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 13.4)}",0.77,0.11,22,13.4,7.25
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 14.0)}",0.77,0.11,22,14,7.25
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 13.4)}",0.77,0.11,21.1,13.4,7.21
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 9.2)}",0.77,0.12,27.8,9.2,6.66
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 11.6)}",0.77,0.14,16.2,11.6,5.36
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 11.1)}",0.77,0.14,16.2,11.1,5.35
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 9.7)}",0.77,0.16,14,9.7,4.83
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 10.0)}",0.77,0.16,14,10,4.83
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 6.6)}",0.77,0.17,21.1,6.6,4.56
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 14.0)}",0.76,0.11,21.1,14,7.21
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 12.1)}",0.76,0.12,19.1,12.1,6.22
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 8.8)}",0.76,0.13,25.8,8.8,5.75
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 8.0)}",0.76,0.15,24,8,5.07
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 7.6)}",0.76,0.15,24,7.6,5
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 9.2)}",0.76,0.17,12.5,9.2,4.57
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 9.7)}",0.76,0.17,12.5,9.7,4.57
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 10.0)}",0.76,0.17,12.5,10,4.57
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 6.6)}",0.76,0.17,22,6.6,4.56
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 6.1)}",0.76,0.17,21.1,6.1,4.53
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 6.1)}",0.76,0.17,22,6.1,4.53
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 5.6)}",0.76,0.18,19.1,5.6,4.27
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 5.1)}",0.76,0.18,19.1,5.1,4.26
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 4.6)}",0.76,0.21,17.7,4.6,3.68
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 4.3)}",0.76,0.21,17.7,4.3,3.67
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 13.4)}",0.74,0.11,20.3,13.4,6.63
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 14.0)}",0.74,0.11,20.3,14,6.63
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 12.1)}",0.74,0.13,17.7,12.1,5.75
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 8.8)}",0.74,0.13,26.9,8.8,5.75
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 10.4)}",0.74,0.15,14,10.4,4.9
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 5.6)}",0.74,0.17,20.3,5.6,4.29
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 9.2)}",0.74,0.17,11.3,9.2,4.28
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 9.2)}",0.74,0.19,10.1,9.2,3.88
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 9.7)}",0.74,0.19,10.1,9.7,3.88
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 10.0)}",0.74,0.19,10.1,10,3.88
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 5.1)}",0.73,0.17,20.3,5.1,4.28
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 9.7)}",0.73,0.17,11.3,9.7,4.28
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 10.0)}",0.73,0.17,11.3,10,4.28
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 4.6)}",0.73,0.2,19.1,4.6,3.7
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 4.3)}",0.73,0.2,19.1,4.3,3.69
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 13.4)}",0.72,0.12,19.1,13.4,6.24
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 14.0)}",0.72,0.11,19.1,14,6.24
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 8.8)}",0.72,0.12,27.8,8.8,5.75
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 12.1)}",0.72,0.13,16.2,12.1,5.44
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 8.0)}",0.72,0.14,25.8,8,5.07
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 10.4)}",0.72,0.16,12.5,10.4,4.62
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 6.6)}",0.72,0.16,24,6.6,4.55
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 4.3)}",0.72,0.21,3,4.3,3.49
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 4.6)}",0.72,0.21,3,4.6,3.49
"{(population_density_on_land_2010 29.8),(household_density_on_land_2010 10.0)}",0.71,0.11,29.8,10,6.76
"{(population_density_on_land_2010 29.8),(household_density_on_land_2010 9.7)}",0.71,0.11,29.8,9.7,6.73
"{(population_density_on_land_2010 29.8),(household_density_on_land_2010 9.2)}",0.71,0.11,29.8,9.2,6.68
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 7.6)}",0.71,0.14,25.8,7.6,5.01
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 6.1)}",0.71,0.16,24,6.1,4.53
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 5.6)}",0.71,0.16,21.1,5.6,4.33
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 5.6)}",0.71,0.16,22,5.6,4.33
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 5.1)}",0.71,0.16,21.1,5.1,4.31
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 5.1)}",0.71,0.16,22,5.1,4.31
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 6.6)}",0.71,0.19,3,6.6,3.73
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 6.1)}",0.71,0.19,3,6.1,3.72
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 4.6)}",0.71,0.19,20.3,4.6,3.71
"{(population_density_on_land_2010 20.3),(household_density_on_land_2010 4.3)}",0.71,0.19,20.3,4.3,3.7
"{(avg_precipitation_for_county 3.0),(population_density_on_land_2010 10.1)}",0.71,0.21,3,10.1,3.45
"{(population_density_on_land_2010 31.0),(household_density_on_land_2010 10.0)}",0.7,0.1,31,10,6.76
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 13.4)}",0.7,0.12,17.7,13.4,5.77
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 8.0)}",0.7,0.14,26.9,8,5.09
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 11.1)}",0.7,0.14,14,11.1,4.9
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 11.6)}",0.7,0.14,14,11.6,4.9
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 10.4)}",0.7,0.16,11.3,10.4,4.33
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 10.4)}",0.7,0.18,10.1,10.4,3.89
"{(population_density_on_land_2010 31.0),(household_density_on_land_2010 9.7)}",0.69,0.1,31,9.7,6.73
"{(population_density_on_land_2010 31.0),(household_density_on_land_2010 9.2)}",0.69,0.1,31,9.2,6.68
"{(population_density_on_land_2010 17.7),(household_density_on_land_2010 14.0)}",0.69,0.12,17.7,14,5.77
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 7.6)}",0.69,0.14,26.9,7.6,5.03
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 5.6)}",0.69,0.19,3,5.6,3.73
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 5.1)}",0.69,0.19,3,5.1,3.72
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 13.4)}",0.68,0.12,16.2,13.4,5.45
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 8.0)}",0.68,0.13,27.8,8,5.09
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 11.1)}",0.68,0.15,12.5,11.1,4.62
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 11.6)}",0.68,0.15,12.5,11.6,4.62
"{(avg_precipitation_for_county 3.0),(population_density_on_land_2010 12.5)}",0.68,0.18,3,12.5,3.77
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 8.0)}",0.68,0.18,3,8,3.74
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 4.6)}",0.68,0.18,21.1,4.6,3.74
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 4.6)}",0.68,0.18,22,4.6,3.74
"{(population_density_on_land_2010 21.1),(household_density_on_land_2010 4.3)}",0.68,0.18,21.1,4.3,3.73
"{(population_density_on_land_2010 22.0),(household_density_on_land_2010 4.3)}",0.68,0.18,22,4.3,3.73
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 7.6)}",0.68,0.18,3,7.6,3.7
"{(avg_precipitation_for_county 3.0),(population_density_on_land_2010 11.3)}",0.68,0.19,3,11.3,3.68
"{(population_density_on_land_2010 34.0),(household_density_on_land_2010 9.7)}",0.67,0.1,34,9.7,6.69
"{(population_density_on_land_2010 34.0),(household_density_on_land_2010 9.2)}",0.67,0.1,34,9.2,6.64
"{(population_density_on_land_2010 16.2),(household_density_on_land_2010 14.0)}",0.67,0.12,16.2,14,5.45
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 7.6)}",0.67,0.13,27.8,7.6,5.03
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 6.6)}",0.67,0.15,25.8,6.6,4.56
"{(population_density_on_land_2010 25.8),(household_density_on_land_2010 6.1)}",0.67,0.15,25.8,6.1,4.54
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 5.6)}",0.67,0.15,24,5.6,4.37
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 5.1)}",0.67,0.15,24,5.1,4.35
"{(population_density_on_land_2010 29.8),(household_density_on_land_2010 8.8)}",0.66,0.11,29.8,8.8,5.76
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 6.6)}",0.66,0.14,26.9,6.6,4.58
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 11.1)}",0.66,0.15,11.3,11.1,4.31
"{(population_density_on_land_2010 11.3),(household_density_on_land_2010 11.6)}",0.66,0.15,11.3,11.6,4.31
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 11.1)}",0.66,0.17,10.1,11.1,3.88
"{(population_density_on_land_2010 10.1),(household_density_on_land_2010 11.6)}",0.66,0.17,10.1,11.6,3.88
"{(avg_precipitation_for_county 3.0),(household_density_on_land_2010 8.8)}",0.66,0.17,3,8.8,3.87
"{(avg_precipitation_for_county 3.0),(population_density_on_land_2010 17.7)}",0.66,0.17,3,17.7,3.85
"{(avg_precipitation_for_county 3.0),(population_density_on_land_2010 14.0)}",0.66,0.17,3,14,3.8
"{(avg_precipitation_for_county 3.0),(population_density_on_land_2010 16.2)}",0.66,0.18,3,16.2,3.78
"{(population_density_on_land_2010 14.0),(household_density_on_land_2010 12.1)}",0.65,0.13,14,12.1,4.96
"{(population_density_on_land_2010 26.9),(household_density_on_land_2010 6.1)}",0.65,0.14,26.9,6.1,4.56
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 14.5)}",0.64,0.1,19.1,14.5,6.29
"{(population_density_on_land_2010 19.1),(household_density_on_land_2010 14.9)}",0.64,0.1,19.1,14.9,6.28
"{(population_density_on_land_2010 31.0),(household_density_on_land_2010 8.8)}",0.64,0.11,31,8.8,5.76
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 6.6)}",0.64,0.14,27.8,6.6,4.59
"{(population_density_on_land_2010 27.8),(household_density_on_land_2010 6.1)}",0.64,0.14,27.8,6.1,4.56
"{(avg_precipitation_for_county 3.0),(population_density_on_land_2010 19.1)}",0.64,0.16,3,19.1,3.9
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 4.6)}",0.64,0.17,24,4.6,3.75
"{(population_density_on_land_2010 24.0),(household_density_on_land_2010 4.3)}",0.64,0.17,24,4.3,3.73
"{(PctEmpManufacturing 7.0),(population_density_on_land_2010 10.1)}",0.64,0.23,7,10.1,2.83
"{(PctEmpManufacturing 6.0),(population_density_on_land_2010 10.1)}",0.64,0.25,6,10.1,2.6
"{(PctEmpManufacturing 6.0),(household_density_on_land_2010 4.3)}",0.64,0.25,6,4.3,2.6
"{(PctEmpManufacturing 6.0),(household_density_on_land_2010 4.6)}",0.64,0.25,6,4.6,2.6
"{(population_density_on_land_2010 12.5),(household_density_on_land_2010 12.1)}",0.63,0.13,12.5,12.1,4.66
