pattern,Agreement,Expected Agreement,threhsold1_imp_agreement,threhsold2_imp_agreement,pattern_lift
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 162.0)}",0.74,0.000221129,414.4,162,3358.425653
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 164.0)}",0.74,0.000221129,414.4,164,3358.425653
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 155.3)}",0.94,0.000293968,386,155.3,3214.39108
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 155.3)}",0.92,0.000287714,393,155.3,3213.587554
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 155.3)}",0.91,0.000284743,409,155.3,3213.193463
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 155.3)}",0.73,0.000226447,414.4,155.3,3203.368485
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 170.0)}",0.88,0.000277918,378,170,3153.563526
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 176.0)}",0.88,0.000277918,378,176,3153.563526
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 178.0)}",0.87,0.000274686,378,178,3153.563526
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 158.0)}",0.94,0.0003033,378,158,3091.006347
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 162.0)}",0.94,0.0003033,378,162,3091.006347
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 164.0)}",0.94,0.0003033,378,164,3091.006347
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 167.0)}",0.89,0.000287564,378,167,3089.256631
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 170.0)}",0.86,0.000283484,373,170,3030.948573
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 176.0)}",0.86,0.000283484,373,176,3030.948573
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 178.0)}",0.85,0.000280187,373,178,3030.948573
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 158.0)}",0.92,0.000309374,373,158,2971.389463
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 162.0)}",0.92,0.000309374,373,162,2971.389463
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 164.0)}",0.92,0.000309374,373,164,2971.389463
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 167.0)}",0.87,0.000293323,373,167,2969.707459
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 155.3)}",0.92,0.000310595,378,155.3,2951.184908
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 170.0)}",0.84,0.000289009,369,170,2916.163032
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 176.0)}",0.84,0.000289009,369,176,2916.163032
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 178.0)}",0.83,0.000285648,369,178,2916.163032
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 153.0)}",0.9,0.000309724,386,153,2897.259536
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 153.0)}",0.88,0.000303135,393,153,2896.535286
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 153.0)}",0.87,0.000300005,409,153,2896.180076
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 153.0)}",0.69,0.000238585,414.4,153,2887.324429
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 158.0)}",0.9,0.000315404,369,158,2859.379333
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 162.0)}",0.9,0.000315404,369,162,2859.379333
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 164.0)}",0.9,0.000315404,369,164,2859.379333
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 167.0)}",0.85,0.00029904,369,167,2857.760733
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 150.0)}",0.9,0.000315893,386,150,2846.617328
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 150.0)}",0.88,0.000309173,393,150,2846.617328
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 150.0)}",0.87,0.00030598,409,150,2846.617328
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 150.0)}",0.69,0.000243337,414.4,150,2846.617328
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 155.3)}",0.9,0.000316815,373,155.3,2838.208208
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 170.0)}",0.82,0.000297634,362,170,2749.605153
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 176.0)}",0.82,0.000297634,362,176,2749.605153
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 178.0)}",0.81,0.000294172,362,178,2749.605153
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 155.3)}",0.88,0.00032299,369,155.3,2732.349214
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 147.0)}",0.88,0.000324348,386,147,2700.146902
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 147.0)}",0.86,0.000317448,393,147,2700.146902
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 147.0)}",0.85,0.00031417,409,147,2700.146902
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 147.0)}",0.67,0.00024985,414.4,147,2700.146902
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 158.0)}",0.88,0.000324817,362,158,2696.793719
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 162.0)}",0.88,0.000324817,362,162,2696.793719
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 164.0)}",0.88,0.000324817,362,164,2696.793719
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 167.0)}",0.83,0.000307964,362,167,2695.267154
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 153.0)}",0.87,0.000327243,378,153,2665.550987
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 158.0)}",0.88,0.000330746,355.4,158,2651.909475
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 162.0)}",0.88,0.000330746,355.4,162,2651.909475
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 164.0)}",0.88,0.000330746,355.4,164,2651.909475
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 167.0)}",0.83,0.000313586,355.4,167,2651.909475
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 170.0)}",0.8,0.000303066,355.4,170,2651.909475
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 176.0)}",0.8,0.000303066,355.4,176,2651.909475
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 178.0)}",0.79,0.000299542,355.4,178,2651.909475
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 150.0)}",0.87,0.00033376,378,150,2619.569238
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 153.0)}",0.87,0.000333796,373,153,2616.529606
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 142.0)}",0.86,0.000331087,386,142,2591.338384
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 145.0)}",0.86,0.000331087,386,145,2591.338384
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 142.0)}",0.84,0.000324044,393,142,2591.338384
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 145.0)}",0.84,0.000324044,393,145,2591.338384
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 142.0)}",0.83,0.000320698,409,142,2591.338384
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 145.0)}",0.83,0.000320698,409,145,2591.338384
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 142.0)}",0.66,0.000255041,414.4,142,2591.338384
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 145.0)}",0.66,0.000255041,414.4,145,2591.338384
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 155.3)}",0.86,0.000332629,362,155.3,2578.574399
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 150.0)}",0.88,0.000340444,373,150,2571.303045
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 153.0)}",0.87,0.000340302,369,153,2569.852114
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 155.3)}",0.86,0.0003387,355.4,155.3,2536.13059
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 150.0)}",0.88,0.00034708,369,150,2525.34473
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 142.0)}",0.87,0.000349814,378,142,2493.81903
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 145.0)}",0.87,0.000349814,378,145,2493.81903
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 147.0)}",0.85,0.000342693,378,147,2487.300895
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 139.7)}",0.83,0.000340484,386,139.7,2450.288802
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 139.7)}",0.82,0.00033324,393,139.7,2450.288802
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 139.7)}",0.81,0.000329799,409,139.7,2450.288802
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 139.7)}",0.64,0.000262279,414.4,139.7,2450.288802
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 142.0)}",0.87,0.00035682,373,142,2447.849537
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 145.0)}",0.87,0.00035682,373,145,2447.849537
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 147.0)}",0.85,0.000349556,373,147,2442.028699
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 158.0)}",0.84,0.000345478,345,158,2430.567553
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 162.0)}",0.84,0.000345478,345,162,2430.567553
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 164.0)}",0.84,0.000345478,345,164,2430.567553
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 167.0)}",0.8,0.000327553,345,167,2430.567553
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 170.0)}",0.77,0.000316565,345,170,2430.567553
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 176.0)}",0.77,0.000316565,345,176,2430.567553
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 178.0)}",0.76,0.000312884,345,178,2430.567553
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 153.0)}",0.85,0.000350458,362,153,2427.234308
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 142.0)}",0.87,0.000363774,369,142,2404.075803
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 145.0)}",0.87,0.000363774,369,145,2404.075803
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 147.0)}",0.85,0.000356369,369,147,2398.912558
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 153.0)}",0.85,0.000356855,355.4,153,2387.377668
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 150.0)}",0.85,0.000357438,362,150,2385.769141
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 139.7)}",0.85,0.000359742,378,139.7,2359.242521
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 150.0)}",0.85,0.000363962,355.4,150,2346.504911
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 155.3)}",0.82,0.000353786,345,155.3,2326.50163
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 139.7)}",0.85,0.000366946,373,139.7,2316.310678
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 138.0)}",0.89,0.000387318,369,138,2285.8802
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 138.0)}",0.87,0.000379913,373,138,2285.8802
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 138.0)}",0.85,0.000372454,378,138,2285.8802
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 138.0)}",0.81,0.000352515,386,138,2285.8802
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 138.0)}",0.79,0.000345016,393,138,2285.8802
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 138.0)}",0.78,0.000341453,409,138,2285.8802
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 138.0)}",0.62,0.000271548,414.4,138,2285.8802
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 139.7)}",0.85,0.000374098,369,139.7,2275.421051
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 142.0)}",0.85,0.00037463,362,142,2272.719091
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 145.0)}",0.85,0.00037463,362,145,2272.719091
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 147.0)}",0.83,0.000367004,362,147,2267.837961
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 138.0)}",0.9,0.000398876,362,138,2248.263098
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 139.7)}",0.86,0.000385262,362,139.7,2239.813776
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 142.0)}",0.85,0.000381468,355.4,142,2235.269934
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 145.0)}",0.85,0.000381468,355.4,145,2235.269934
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 153.0)}",0.83,0.000372749,345,153,2232.945007
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 147.0)}",0.83,0.000373703,355.4,147,2230.966307
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 138.0)}",0.9,0.000406157,355.4,138,2210.114911
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 139.7)}",0.86,0.000392294,355.4,139.7,2202.59869
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 150.0)}",0.83,0.000380173,345,150,2195.087286
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 158.0)}",0.79,0.000366173,339,158,2163.588888
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 162.0)}",0.79,0.000366173,339,162,2163.588888
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 164.0)}",0.79,0.000366173,339,164,2163.588888
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 167.0)}",0.75,0.000347175,339,167,2163.588888
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 170.0)}",0.73,0.000335529,339,170,2163.588888
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 176.0)}",0.73,0.000335529,339,176,2163.588888
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 178.0)}",0.72,0.000331627,339,178,2163.588888
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 142.0)}",0.86,0.000398459,345,142,2163.438119
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 145.0)}",0.86,0.000398459,345,145,2163.438119
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 147.0)}",0.84,0.000390348,345,147,2160.618372
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 138.0)}",0.91,0.000424248,345,138,2135.996049
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 139.7)}",0.87,0.000409768,345,139.7,2130.871202
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 133.0)}",0.83,0.000396375,369,133,2104.408409
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 135.0)}",0.83,0.000396375,369,135,2104.408409
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 133.0)}",0.82,0.000388797,373,133,2103.591248
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 135.0)}",0.82,0.000388797,373,135,2103.591248
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 133.0)}",0.8,0.000381164,378,133,2102.735265
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 135.0)}",0.8,0.000381164,378,135,2102.735265
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 133.0)}",0.76,0.000360759,386,133,2100.269305
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 135.0)}",0.76,0.000360759,386,135,2100.269305
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 133.0)}",0.74,0.000353084,393,133,2099.268043
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 135.0)}",0.74,0.000353084,393,135,2099.268043
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 133.0)}",0.73,0.000349438,409,133,2098.776972
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 135.0)}",0.73,0.000349438,409,135,2098.776972
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 133.0)}",0.58,0.000277898,414.4,133,2086.534222
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 135.0)}",0.58,0.000277898,414.4,135,2086.534222
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 155.3)}",0.8,0.000382124,334,155.3,2083.43864
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 158.0)}",0.78,0.00037315,334,158,2083.43864
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 162.0)}",0.78,0.00037315,334,162,2083.43864
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 164.0)}",0.78,0.00037315,334,164,2083.43864
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 167.0)}",0.74,0.00035379,334,167,2083.43864
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 170.0)}",0.71,0.000341922,334,170,2083.43864
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 176.0)}",0.71,0.000341922,334,176,2083.43864
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 178.0)}",0.7,0.000337946,334,178,2083.43864
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 155.3)}",0.78,0.000374979,339,155.3,2073.273339
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 133.0)}",0.85,0.000408204,362,133,2071.257575
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 135.0)}",0.85,0.000408204,362,135,2071.257575
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 155.3)}",0.79,0.000385095,327,155.3,2051.415965
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 158.0)}",0.77,0.000376051,327,158,2051.415965
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 162.0)}",0.77,0.000376051,327,162,2051.415965
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 164.0)}",0.77,0.000376051,327,164,2051.415965
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 167.0)}",0.73,0.00035654,327,167,2051.415965
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 170.0)}",0.71,0.00034458,327,170,2051.415965
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 176.0)}",0.71,0.00034458,327,176,2051.415965
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 178.0)}",0.7,0.000340573,327,178,2051.415965
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 133.0)}",0.89,0.000434169,345,133,2040.374436
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 135.0)}",0.89,0.000434169,345,135,2040.374436
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 133.0)}",0.85,0.000415655,355.4,133,2037.121713
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 135.0)}",0.85,0.000415655,355.4,135,2037.121713
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 153.0)}",0.81,0.000402606,334,153,2000.375487
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 153.0)}",0.79,0.000395078,339,153,1992.024881
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 153.0)}",0.8,0.000405736,327,153,1969.905893
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 142.0)}",0.85,0.000430376,334,142,1969.738342
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 145.0)}",0.85,0.000430376,334,145,1969.738342
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 147.0)}",0.83,0.000421615,334,147,1968.492704
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 150.0)}",0.81,0.000410625,334,150,1966.854897
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 142.0)}",0.83,0.000422329,339,142,1964.139143
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 145.0)}",0.83,0.000422329,339,145,1964.139143
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 147.0)}",0.81,0.000413732,339,147,1961.973587
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 150.0)}",0.79,0.000402947,339,150,1959.126242
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 155.3)}",0.76,0.000388183,322,155.3,1945.416875
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 158.0)}",0.74,0.000379067,322,158,1944.426028
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 162.0)}",0.74,0.000379067,322,162,1944.426028
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 164.0)}",0.74,0.000379067,322,164,1944.426028
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 138.0)}",0.9,0.000461792,327,138,1943.438032
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 138.0)}",0.89,0.000458229,334,138,1942.142828
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 167.0)}",0.7,0.0003594,322,167,1942.117278
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 139.7)}",0.87,0.00044603,327,139.7,1941.478598
"{(population_density_on_land_2010 362.0),(household_density_on_land_2010 130.0)}",0.83,0.000425303,362,130,1941.017792
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 170.0)}",0.67,0.000347344,322,170,1940.572739
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 176.0)}",0.67,0.000347344,322,176,1940.572739
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 178.0)}",0.67,0.000343304,322,178,1940.031006
"{(population_density_on_land_2010 369.0),(household_density_on_land_2010 130.0)}",0.8,0.000412978,369,130,1939.897874
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 142.0)}",0.84,0.000433722,327,142,1939.849364
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 145.0)}",0.84,0.000433722,327,145,1939.849364
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 139.7)}",0.86,0.000442589,334,139.7,1939.588446
"{(population_density_on_land_2010 373.0),(household_density_on_land_2010 130.0)}",0.79,0.000405083,373,130,1939.144594
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 138.0)}",0.87,0.000449662,339,138,1938.94402
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 147.0)}",0.82,0.000424893,327,147,1938.622628
"{(population_density_on_land_2010 378.0),(household_density_on_land_2010 130.0)}",0.77,0.00039713,378,130,1938.355527
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 150.0)}",0.8,0.000413817,327,150,1937.009673
"{(population_density_on_land_2010 386.0),(household_density_on_land_2010 130.0)}",0.73,0.00037587,386,130,1936.082341
"{(population_density_on_land_2010 393.0),(household_density_on_land_2010 130.0)}",0.71,0.000367874,393,130,1935.159352
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 139.7)}",0.84,0.000434314,339,139.7,1934.920278
"{(population_density_on_land_2010 409.0),(household_density_on_land_2010 130.0)}",0.7,0.000364075,409,130,1934.70667
"{(population_density_on_land_2010 414.4),(household_density_on_land_2010 130.0)}",0.56,0.000289538,414.4,130,1923.420988
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 133.0)}",0.91,0.000476381,322,133,1914.274871
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 135.0)}",0.91,0.000476381,322,135,1914.274871
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 133.0)}",0.9,0.000472591,327,133,1912.773169
"{(population_density_on_land_2010 327.0),(household_density_on_land_2010 135.0)}",0.9,0.000472591,327,135,1912.773169
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 133.0)}",0.9,0.000468945,334,133,1911.740481
"{(population_density_on_land_2010 334.0),(household_density_on_land_2010 135.0)}",0.9,0.000468945,334,135,1911.740481
"{(population_density_on_land_2010 345.0),(household_density_on_land_2010 130.0)}",0.86,0.000452355,345,130,1911.663771
"{(population_density_on_land_2010 355.4),(household_density_on_land_2010 130.0)}",0.83,0.000433066,355.4,130,1909.355153
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 133.0)}",0.88,0.000460177,339,133,1909.190014
"{(population_density_on_land_2010 339.0),(household_density_on_land_2010 135.0)}",0.88,0.000460177,339,135,1909.190014
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 153.0)}",0.76,0.00040899,322,153,1870.087289
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 138.0)}",0.86,0.000465495,322,138,1849.700357
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 139.7)}",0.83,0.000449607,322,139.7,1846.617946
"{(population_density_on_land_2010 322.0),(household_density_on_land_2010 142.0)}",0.81,0.0004372,322,142,1844.054975
